IndexingSet,Generators,I1,I2,C,primaryDecomposition
"{1, 2, 3, 5, 7}","{y_6, y_4, x_5*y_2*y_3*y_7-2*x_2*y_3*y_5*y_7, x_5*y_1*y_2*y_7-2*x_2*y_1*y_5*y_7, x_7*y_1*y_3*y_5+x_5*y_1*y_3*y_7-x_3*y_1*y_5*y_7-x_1*y_3*y_5*y_7, x_7*y_1*y_2*y_3-x_3*y_1*y_2*y_7+2*x_2*y_1*y_3*y_7-x_1*y_2*y_3*y_7, x_5*y_1*y_2*y_3-2*x_2*y_1*y_3*y_5}","set {set {5, 7, 3}, set {1, 7, 3}, set {1, 2, 3}, set {1, 2, 7}, set {5, 1, 7}, set {5, 1, 3}, set {2, 7, 3}}","set {set {1}, set {5}, set {3}, set {7}, set {}, set {2}}","set {set {1, 2, 3, 7}, set {2, 3, 5, 7}, set {1, 3, 5, 7}, set {1, 2, 3, 5}, set {1, 2, 5, 7}}","{ideal(y_7,y_6,y_4,y_3), ideal(y_7,y_6,y_4,y_1), ideal(y_6,y_4,y_3,y_1), ideal(y_6,y_4,x_5*y_2-2*x_2*y_5,x_7*y_1*y_3*y_5+x_5*y_1*y_3*y_7-x_3*y_1*y_5*y_7-x_1*y_3*y_5*y_7,x_7*y_1*y_2*y_3-x_3*y_1*y_2*y_7+2*x_2*y_1*y_3*y_7-x_1*y_2*y_3*y_7)}"
"{1, 2, 3, 6, 7}","{y_5, y_4, x_6*y_2*y_3*y_7-x_3*y_2*y_6*y_7, x_6*y_1*y_3*y_7-x_3*y_1*y_6*y_7, 2*x_7*y_1*y_2*y_6-x_6*y_1*y_2*y_7+x_2*y_1*y_6*y_7, 2*x_7*y_1*y_2*y_3-x_3*y_1*y_2*y_7+x_2*y_1*y_3*y_7, x_6*y_1*y_2*y_3-x_3*y_1*y_2*y_6}","set {set {1, 7, 3}, set {1, 2, 3}, set {1, 2, 7}, set {6, 2, 7}, set {1, 6, 7}, set {1, 6, 2}, set {2, 7, 3}}","set {set {7}, set {}, set {3}, set {2}, set {6}}","set {set {2, 3, 6, 7}, set {1, 2, 3, 7}, set {1, 3, 6, 7}, set {1, 2, 3, 6}, set {1, 2, 6, 7}}","{ideal(y_7,y_5,y_4,y_2), ideal(y_7,y_5,y_4,y_1), ideal(y_5,y_4,y_2,y_1), ideal(y_5,y_4,y_1,x_6*y_3-x_3*y_6), ideal(y_5,y_4,x_6*y_3-x_3*y_6,2*x_7*y_2*y_6-x_6*y_2*y_7+x_2*y_6*y_7,2*x_7*y_2*y_3-x_3*y_2*y_7+x_2*y_3*y_7)}"
"{1, 2, 4, 5, 6, 7}","{y_3, x_4*x_5*y_1*y_2*y_7-2*x_1*x_5*y_2*y_4*y_7-x_2*x_4*y_1*y_5*y_7+x_1*x_2*y_4*y_5*y_7, x_2*x_7*y_4*y_5*y_6-x_2*x_6*y_4*y_5*y_7+x_4*x_5*y_2*y_6*y_7-x_2*x_5*y_4*y_6*y_7-x_2*x_4*y_5*y_6*y_7, x_4*x_7*y_1*y_5*y_6-2*x_1*x_7*y_4*y_5*y_6-x_4*x_6*y_1*y_5*y_7+2*x_1*x_6*y_4*y_5*y_7-x_4*x_5*y_1*y_6*y_7+2*x_1*x_5*y_4*y_6*y_7+x_1*x_4*y_5*y_6*y_7, x_2*x_7*y_1*y_5*y_6-x_2*x_6*y_1*y_5*y_7-x_2*x_5*y_1*y_6*y_7+2*x_1*x_5*y_2*y_6*y_7-x_1*x_2*y_5*y_6*y_7, x_4*x_7*y_1*y_2*y_6-2*x_1*x_7*y_2*y_4*y_6-x_4*x_6*y_1*y_2*y_7+2*x_1*x_6*y_2*y_4*y_7-x_2*x_4*y_1*y_6*y_7+x_1*x_4*y_2*y_6*y_7+x_1*x_2*y_4*y_6*y_7, x_4*x_5*y_1*y_2*y_6-2*x_1*x_5*y_2*y_4*y_6-x_2*x_4*y_1*y_5*y_6+x_1*x_2*y_4*y_5*y_6}","set {set {4, 2, 7}, set {1, 2, 7}, set {4, 5, 7}, set {5, 1, 7}, set {4, 6, 7}, set {6, 2, 7}, set {4, 6, 2}, set {1, 6, 7}, set {5, 6, 7}, set {1, 6, 2}, set {4, 5, 6}, set {5, 1, 6}}","set {set {1, 7}, set {4, 1}, set {1, 2}, set {4, 5}, set {5, 2}, set {1, 6}, set {}, set {2, 7}, set {4, 7}, set {4, 2}, set {5, 1}, set {6, 2}, set {4, 6}}","set {set {1, 2, 5, 6, 7}, set {1, 2, 4, 5, 7}, set {1, 4, 5, 6, 7}, set {1, 2, 4, 5, 6}, set {1, 2, 4, 6, 7}, set {2, 4, 5, 6, 7}}","{ideal(y_7,y_6,y_3), ideal(y_3,x_4*x_5*y_1*y_2-2*x_1*x_5*y_2*y_4-x_2*x_4*y_1*y_5+x_1*x_2*y_4*y_5,x_2*x_7*y_4*y_5*y_6-x_2*x_6*y_4*y_5*y_7+x_4*x_5*y_2*y_6*y_7-x_2*x_5*y_4*y_6*y_7-x_2*x_4*y_5*y_6*y_7,x_4*x_7*y_1*y_5*y_6-2*x_1*x_7*y_4*y_5*y_6-x_4*x_6*y_1*y_5*y_7+2*x_1*x_6*y_4*y_5*y_7-x_4*x_5*y_1*y_6*y_7+2*x_1*x_5*y_4*y_6*y_7+x_1*x_4*y_5*y_6*y_7,x_2*x_7*y_1*y_5*y_6-x_2*x_6*y_1*y_5*y_7-x_2*x_5*y_1*y_6*y_7+2*x_1*x_5*y_2*y_6*y_7-x_1*x_2*y_5*y_6*y_7,x_4*x_7*y_1*y_2*y_6-2*x_1*x_7*y_2*y_4*y_6-x_4*x_6*y_1*y_2*y_7+2*x_1*x_6*y_2*y_4*y_7-x_2*x_4*y_1*y_6*y_7+x_1*x_4*y_2*y_6*y_7+x_1*x_2*y_4*y_6*y_7)}"
"{1, 2, 4, 5, 6}","{y_7, y_3, x_2*y_4*y_5*y_6, x_4*y_1*y_5*y_6-2*x_1*y_4*y_5*y_6, x_2*y_1*y_5*y_6, x_4*y_1*y_2*y_6-2*x_1*y_2*y_4*y_6}","set {set {4, 6, 2}, set {4, 5, 6}, set {1, 6, 2}, set {5, 1, 6}}","set {set {1}, set {}, set {2}, set {4}}","set {set {1, 4, 5, 6}, set {1, 2, 5, 6}, set {1, 2, 4, 6}, set {2, 4, 5, 6}}","{ideal(y_7,y_6,y_3), ideal(y_7,y_5,y_3,y_2), ideal(y_7,y_5,y_3,x_4*y_1-2*x_1*y_4), ideal(y_7,y_4,y_3,y_1), ideal(y_7,y_3,x_2,x_4*y_1-2*x_1*y_4)}"
"{1, 2, 4, 5, 7}","{y_6, y_3, x_2*y_4*y_5*y_7, x_4*y_1*y_5*y_7-2*x_1*y_4*y_5*y_7, x_2*y_1*y_5*y_7, x_4*y_1*y_2*y_7-2*x_1*y_2*y_4*y_7}","set {set {4, 2, 7}, set {4, 5, 7}, set {1, 2, 7}, set {5, 1, 7}}","set {set {1}, set {}, set {2}, set {4}}","set {set {1, 2, 4, 7}, set {2, 4, 5, 7}, set {1, 4, 5, 7}, set {1, 2, 5, 7}}","{ideal(y_7,y_6,y_3), ideal(y_6,y_5,y_3,y_2), ideal(y_6,y_5,y_3,x_4*y_1-2*x_1*y_4), ideal(y_6,y_4,y_3,y_1), ideal(y_6,y_3,x_2,x_4*y_1-2*x_1*y_4)}"
"{1, 2, 4, 5}","{y_7, y_6, y_3}","set {}","set {set {}}","set {}","{ideal(y_7,y_6,y_3)}"
"{1, 2, 4, 6, 7}","{y_5, y_3, x_4*y_2*y_6*y_7-x_2*y_4*y_6*y_7, x_4*y_1*y_6*y_7-2*x_1*y_4*y_6*y_7, x_2*y_1*y_6*y_7-2*x_1*y_2*y_6*y_7, x_4*y_1*y_2*y_7-2*x_1*y_2*y_4*y_7, x_4*y_1*y_2*y_6-2*x_1*y_2*y_4*y_6}","set {set {4, 2, 7}, set {1, 2, 7}, set {4, 6, 7}, set {6, 2, 7}, set {4, 6, 2}, set {1, 6, 7}, set {1, 6, 2}}","set {set {1}, set {}, set {4}, set {2}}","set {set {2, 4, 6, 7}, set {1, 2, 4, 7}, set {1, 4, 6, 7}, set {1, 2, 6, 7}, set {1, 2, 4, 6}}","{ideal(y_7,y_6,y_5,y_3), ideal(y_7,y_5,y_3,y_2), ideal(y_7,y_5,y_3,x_4*y_1-2*x_1*y_4), ideal(y_6,y_5,y_3,y_2), ideal(y_6,y_5,y_3,x_4*y_1-2*x_1*y_4), ideal(y_5,y_3,x_4*y_2-x_2*y_4,x_4*y_1-2*x_1*y_4,x_2*y_1-2*x_1*y_2)}"
"{1, 2, 4, 6}","{y_7, y_5, y_3, x_4*y_1*y_2*y_6-2*x_1*y_2*y_4*y_6}","set {set {1, 6, 2}, set {4, 6, 2}}","set {set {1}, set {}, set {4}}","set {set {1, 2, 4, 6}}","{ideal(y_7,y_6,y_5,y_3), ideal(y_7,y_5,y_3,y_2), ideal(y_7,y_5,y_3,x_4*y_1-2*x_1*y_4)}"
"{1, 2, 4, 7}","{y_6, y_5, y_3, x_4*y_1*y_2*y_7-2*x_1*y_2*y_4*y_7}","set {set {4, 2, 7}, set {1, 2, 7}}","set {set {1}, set {}, set {4}}","set {set {1, 2, 4, 7}}","{ideal(y_7,y_6,y_5,y_3), ideal(y_6,y_5,y_3,y_2), ideal(y_6,y_5,y_3,x_4*y_1-2*x_1*y_4)}"
"{1, 2, 4}","{y_7, y_6, y_5, y_3}","set {}","set {set {}}","set {}","{ideal(y_7,y_6,y_5,y_3)}"
"{1, 2, 5, 6, 7}","{y_4, y_3, x_5*y_2*y_6*y_7-x_2*y_5*y_6*y_7, x_5*y_1*y_2*y_7-x_2*y_1*y_5*y_7, x_7*y_1*y_5*y_6-x_6*y_1*y_5*y_7-x_5*y_1*y_6*y_7+x_1*y_5*y_6*y_7, x_7*y_1*y_2*y_6-x_6*y_1*y_2*y_7-x_2*y_1*y_6*y_7+x_1*y_2*y_6*y_7, x_5*y_1*y_2*y_6-x_2*y_1*y_5*y_6}","set {set {1, 2, 7}, set {5, 1, 7}, set {6, 2, 7}, set {5, 6, 7}, set {1, 6, 7}, set {1, 6, 2}, set {5, 1, 6}}","set {set {1}, set {5}, set {7}, set {}, set {6}, set {2}}","set {set {1, 2, 5, 6}, set {1, 2, 6, 7}, set {2, 5, 6, 7}, set {1, 2, 5, 7}, set {1, 5, 6, 7}}","{ideal(y_7,y_6,y_4,y_3), ideal(y_7,y_4,y_3,y_1), ideal(y_6,y_4,y_3,y_1), ideal(y_4,y_3,x_5*y_2-x_2*y_5,x_7*y_1*y_5*y_6-x_6*y_1*y_5*y_7-x_5*y_1*y_6*y_7+x_1*y_5*y_6*y_7,x_7*y_1*y_2*y_6-x_6*y_1*y_2*y_7-x_2*y_1*y_6*y_7+x_1*y_2*y_6*y_7)}"
"{1, 2, 5}","{y_7, y_6, y_4, y_3}","set {}","set {set {}}","set {}","{ideal(y_7,y_6,y_4,y_3)}"
"{1, 2}","{y_7, y_6, y_5, y_4, y_3}","set {}","set {set {}}","set {}","{ideal(y_7,y_6,y_5,y_4,y_3)}"
"{1, 3, 4, 5, 6, 7}","{y_2, 2*x_4*x_6*y_1*y_3*y_7-3*x_1*x_6*y_3*y_4*y_7-x_3*x_4*y_1*y_6*y_7+x_1*x_3*y_4*y_6*y_7, 3*x_4*x_7*y_1*y_5*y_6-4*x_1*x_7*y_4*y_5*y_6-2*x_4*x_6*y_1*y_5*y_7+3*x_1*x_6*y_4*y_5*y_7-x_4*x_5*y_1*y_6*y_7+2*x_1*x_5*y_4*y_6*y_7+x_1*x_4*y_5*y_6*y_7, x_6*x_7*y_3*y_4*y_5+x_3*x_7*y_4*y_5*y_6+x_5*x_6*y_3*y_4*y_7+2*x_4*x_6*y_3*y_5*y_7-x_3*x_6*y_4*y_5*y_7-x_3*x_5*y_4*y_6*y_7-x_3*x_4*y_5*y_6*y_7, x_6*x_7*y_1*y_3*y_5+x_3*x_7*y_1*y_5*y_6+x_5*x_6*y_1*y_3*y_7-x_3*x_6*y_1*y_5*y_7+3*x_1*x_6*y_3*y_5*y_7-x_3*x_5*y_1*y_6*y_7-x_1*x_3*y_5*y_6*y_7, 3*x_4*x_7*y_1*y_3*y_5-4*x_1*x_7*y_3*y_4*y_5-x_4*x_5*y_1*y_3*y_7+2*x_1*x_5*y_3*y_4*y_7-x_3*x_4*y_1*y_5*y_7+x_1*x_4*y_3*y_5*y_7+x_1*x_3*y_4*y_5*y_7, 2*x_4*x_6*y_1*y_3*y_5-3*x_1*x_6*y_3*y_4*y_5-x_3*x_4*y_1*y_5*y_6+x_1*x_3*y_4*y_5*y_6}","set {set {5, 7, 3}, set {1, 7, 3}, set {4, 5, 3}, set {4, 5, 7}, set {5, 1, 3}, set {5, 1, 7}, set {4, 6, 7}, set {5, 6, 7}, set {1, 6, 7}, set {4, 5, 6}, set {4, 7, 3}, set {5, 1, 6}}","set {set {1, 7}, set {4, 5}, set {4, 1}, set {6, 3}, set {5, 6}, set {1, 6}, set {}, set {4, 7}, set {5, 3}, set {1, 3}, set {5, 1}, set {6, 7}, set {4, 6}, set {7, 3}, set {4, 3}}","set {set {1, 3, 4, 5, 6}, set {1, 4, 5, 6, 7}, set {1, 3, 4, 6, 7}, set {3, 4, 5, 6, 7}, set {1, 3, 4, 5, 7}, set {1, 3, 5, 6, 7}}","{ideal(y_7,y_5,y_2), ideal(y_2,2*x_4*x_6*y_1*y_3-3*x_1*x_6*y_3*y_4-x_3*x_4*y_1*y_6+x_1*x_3*y_4*y_6,3*x_4*x_7*y_1*y_5*y_6-4*x_1*x_7*y_4*y_5*y_6-2*x_4*x_6*y_1*y_5*y_7+3*x_1*x_6*y_4*y_5*y_7-x_4*x_5*y_1*y_6*y_7+2*x_1*x_5*y_4*y_6*y_7+x_1*x_4*y_5*y_6*y_7,x_6*x_7*y_3*y_4*y_5+x_3*x_7*y_4*y_5*y_6+x_5*x_6*y_3*y_4*y_7+2*x_4*x_6*y_3*y_5*y_7-x_3*x_6*y_4*y_5*y_7-x_3*x_5*y_4*y_6*y_7-x_3*x_4*y_5*y_6*y_7,x_6*x_7*y_1*y_3*y_5+x_3*x_7*y_1*y_5*y_6+x_5*x_6*y_1*y_3*y_7-x_3*x_6*y_1*y_5*y_7+3*x_1*x_6*y_3*y_5*y_7-x_3*x_5*y_1*y_6*y_7-x_1*x_3*y_5*y_6*y_7,3*x_4*x_7*y_1*y_3*y_5-4*x_1*x_7*y_3*y_4*y_5-x_4*x_5*y_1*y_3*y_7+2*x_1*x_5*y_3*y_4*y_7-x_3*x_4*y_1*y_5*y_7+x_1*x_4*y_3*y_5*y_7+x_1*x_3*y_4*y_5*y_7)}"
"{1, 3, 4, 5, 6}","{y_7, y_2, 3*x_4*y_1*y_5*y_6-4*x_1*y_4*y_5*y_6, x_6*y_3*y_4*y_5+x_3*y_4*y_5*y_6, x_6*y_1*y_3*y_5+x_3*y_1*y_5*y_6, 3*x_4*y_1*y_3*y_5-4*x_1*y_3*y_4*y_5}","set {set {4, 5, 3}, set {4, 5, 6}, set {5, 1, 3}, set {5, 1, 6}}","set {set {1}, set {3}, set {}, set {6}, set {4}}","set {set {1, 4, 5, 6}, set {3, 4, 5, 6}, set {1, 3, 4, 5}, set {1, 3, 5, 6}}","{ideal(y_7,y_5,y_2), ideal(y_7,y_6,y_3,y_2), ideal(y_7,y_4,y_2,y_1), ideal(y_7,y_2,x_6*y_3+x_3*y_6,3*x_4*y_1-4*x_1*y_4)}"
"{1, 3, 4, 5, 7}","{y_6, y_2, 2*x_4*y_1*y_5*y_7-3*x_1*y_4*y_5*y_7, 2*x_4*y_1*y_3*y_7-3*x_1*y_3*y_4*y_7, x_7*y_3*y_4*y_5+x_5*y_3*y_4*y_7+2*x_4*y_3*y_5*y_7-x_3*y_4*y_5*y_7, x_7*y_1*y_3*y_5+x_5*y_1*y_3*y_7-x_3*y_1*y_5*y_7+3*x_1*y_3*y_5*y_7, 2*x_4*y_1*y_3*y_5-3*x_1*y_3*y_4*y_5}","set {set {1, 7, 3}, set {5, 7, 3}, set {4, 5, 7}, set {4, 5, 3}, set {5, 1, 3}, set {5, 1, 7}, set {4, 7, 3}}","set {set {5}, set {1}, set {3}, set {7}, set {}, set {4}}","set {set {1, 3, 4, 7}, set {3, 4, 5, 7}, set {1, 3, 5, 7}, set {1, 3, 4, 5}, set {1, 4, 5, 7}}","{ideal(y_7,y_6,y_5,y_2), ideal(y_7,y_6,y_3,y_2), ideal(y_6,y_5,y_3,y_2), ideal(y_6,y_2,2*x_4*y_1-3*x_1*y_4,x_7*y_3*y_4*y_5+x_5*y_3*y_4*y_7+2*x_4*y_3*y_5*y_7-x_3*y_4*y_5*y_7,x_7*y_1*y_3*y_5+x_5*y_1*y_3*y_7-x_3*y_1*y_5*y_7+3*x_1*y_3*y_5*y_7)}"
"{1, 3, 4, 6, 7}","{y_5, y_2, x_4*y_1*y_6*y_7-2*x_1*y_4*y_6*y_7, x_6*y_3*y_4*y_7-x_3*y_4*y_6*y_7, x_6*y_1*y_3*y_7-x_3*y_1*y_6*y_7, x_4*y_1*y_3*y_7-2*x_1*y_3*y_4*y_7}","set {set {4, 6, 7}, set {1, 7, 3}, set {1, 6, 7}, set {4, 7, 3}}","set {set {1}, set {3}, set {}, set {6}, set {4}}","set {set {3, 4, 6, 7}, set {1, 3, 4, 7}, set {1, 3, 6, 7}, set {1, 4, 6, 7}}","{ideal(y_7,y_5,y_2), ideal(y_6,y_5,y_3,y_2), ideal(y_5,y_4,y_2,y_1), ideal(y_5,y_2,x_6*y_3-x_3*y_6,x_4*y_1-2*x_1*y_4)}"
"{1, 3, 4, 6}","{y_7, y_5, y_2}","set {}","set {set {}}","set {}","{ideal(y_7,y_5,y_2)}"
"{1, 3, 4}","{y_7, y_6, y_5, y_2}","set {}","set {set {}}","set {}","{ideal(y_7,y_6,y_5,y_2)}"
"{1, 3, 5, 6, 7}","{y_4, y_2, 2*x_6*y_3*y_5*y_7-x_3*y_5*y_6*y_7, 2*x_6*y_1*y_3*y_7-x_3*y_1*y_6*y_7, 3*x_7*y_1*y_5*y_6-2*x_6*y_1*y_5*y_7-x_5*y_1*y_6*y_7+x_1*y_5*y_6*y_7, 3*x_7*y_1*y_3*y_5-x_5*y_1*y_3*y_7-x_3*y_1*y_5*y_7+x_1*y_3*y_5*y_7, 2*x_6*y_1*y_3*y_5-x_3*y_1*y_5*y_6}","set {set {1, 7, 3}, set {5, 7, 3}, set {5, 1, 3}, set {5, 1, 7}, set {5, 6, 7}, set {1, 6, 7}, set {5, 1, 6}}","set {set {1}, set {5}, set {7}, set {}, set {3}, set {6}}","set {set {3, 5, 6, 7}, set {1, 3, 6, 7}, set {1, 3, 5, 7}, set {1, 3, 5, 6}, set {1, 5, 6, 7}}","{ideal(y_7,y_5,y_4,y_2), ideal(y_7,y_4,y_2,y_1), ideal(y_5,y_4,y_2,y_1), ideal(y_4,y_2,2*x_6*y_3-x_3*y_6,3*x_7*y_1*y_5*y_6-2*x_6*y_1*y_5*y_7-x_5*y_1*y_6*y_7+x_1*y_5*y_6*y_7,3*x_7*y_1*y_3*y_5-x_5*y_1*y_3*y_7-x_3*y_1*y_5*y_7+x_1*y_3*y_5*y_7)}"
"{1, 3, 6}","{y_7, y_5, y_4, y_2}","set {}","set {set {}}","set {}","{ideal(y_7,y_5,y_4,y_2)}"
"{1, 3}","{y_7, y_6, y_5, y_4, y_2}","set {}","set {set {}}","set {}","{ideal(y_7,y_6,y_5,y_4,y_2)}"
"{1, 4, 5, 6, 7}","{y_3, y_2, x_4*y_1*y_6*y_7-x_1*y_4*y_6*y_7, x_4*y_1*y_5*y_7-x_1*y_4*y_5*y_7, x_7*y_4*y_5*y_6-x_6*y_4*y_5*y_7-x_5*y_4*y_6*y_7-x_4*y_5*y_6*y_7, x_7*y_1*y_5*y_6-x_6*y_1*y_5*y_7-x_5*y_1*y_6*y_7-x_1*y_5*y_6*y_7, x_4*y_1*y_5*y_6-x_1*y_4*y_5*y_6}","set {set {4, 5, 7}, set {5, 1, 7}, set {4, 6, 7}, set {1, 6, 7}, set {5, 6, 7}, set {4, 5, 6}, set {5, 1, 6}}","set {set {5}, set {1}, set {7}, set {}, set {6}, set {4}}","set {set {1, 4, 5, 6}, set {1, 4, 6, 7}, set {4, 5, 6, 7}, set {1, 5, 6, 7}, set {1, 4, 5, 7}}","{ideal(y_7,y_6,y_3,y_2), ideal(y_7,y_5,y_3,y_2), ideal(y_6,y_5,y_3,y_2), ideal(y_3,y_2,x_4*y_1-x_1*y_4,x_7*y_4*y_5*y_6-x_6*y_4*y_5*y_7-x_5*y_4*y_6*y_7-x_4*y_5*y_6*y_7,x_7*y_1*y_5*y_6-x_6*y_1*y_5*y_7-x_5*y_1*y_6*y_7-x_1*y_5*y_6*y_7)}"
"{1, 4, 5}","{y_7, y_6, y_3, y_2}","set {}","set {set {}}","set {}","{ideal(y_7,y_6,y_3,y_2)}"
"{1, 4, 6}","{y_7, y_5, y_3, y_2}","set {}","set {set {}}","set {}","{ideal(y_7,y_5,y_3,y_2)}"
"{1, 4, 7}","{y_6, y_5, y_3, y_2}","set {}","set {set {}}","set {}","{ideal(y_6,y_5,y_3,y_2)}"
"{1, 4}","{y_7, y_6, y_5, y_3, y_2}","set {}","set {set {}}","set {}","{ideal(y_7,y_6,y_5,y_3,y_2)}"
"{1, 5}","{y_7, y_6, y_4, y_3, y_2}","set {}","set {set {}}","set {}","{ideal(y_7,y_6,y_4,y_3,y_2)}"
"{1, 6}","{y_7, y_5, y_4, y_3, y_2}","set {}","set {set {}}","set {}","{ideal(y_7,y_5,y_4,y_3,y_2)}"
"{1, 7}","{y_6, y_5, y_4, y_3, y_2}","set {}","set {set {}}","set {}","{ideal(y_6,y_5,y_4,y_3,y_2)}"
"{1}","{y_7, y_6, y_5, y_4, y_3, y_2}","set {}","set {set {}}","set {}","{ideal(y_7,y_6,y_5,y_4,y_3,y_2)}"
"{2, 3, 4, 5, 6, 7}","{y_1, 2*x_5*x_6*y_2*y_3*y_7-3*x_2*x_6*y_3*y_5*y_7-2*x_3*x_5*y_2*y_6*y_7+x_2*x_3*y_5*y_6*y_7, 4*x_5*x_7*y_2*y_4*y_6-4*x_2*x_7*y_4*y_5*y_6-2*x_5*x_6*y_2*y_4*y_7+3*x_2*x_6*y_4*y_5*y_7+2*x_2*x_5*y_4*y_6*y_7+x_2*x_4*y_5*y_6*y_7, 2*x_6*x_7*y_3*y_4*y_5+2*x_3*x_7*y_4*y_5*y_6+2*x_5*x_6*y_3*y_4*y_7+x_4*x_6*y_3*y_5*y_7-2*x_3*x_6*y_4*y_5*y_7-2*x_3*x_5*y_4*y_6*y_7-x_3*x_4*y_5*y_6*y_7, 2*x_6*x_7*y_2*y_3*y_4+2*x_3*x_7*y_2*y_4*y_6+x_4*x_6*y_2*y_3*y_7-2*x_3*x_6*y_2*y_4*y_7+3*x_2*x_6*y_3*y_4*y_7-x_3*x_4*y_2*y_6*y_7-x_2*x_3*y_4*y_6*y_7, 4*x_5*x_7*y_2*y_3*y_4-4*x_2*x_7*y_3*y_4*y_5-2*x_3*x_5*y_2*y_4*y_7+2*x_2*x_5*y_3*y_4*y_7+x_2*x_4*y_3*y_5*y_7+x_2*x_3*y_4*y_5*y_7, 2*x_5*x_6*y_2*y_3*y_4-3*x_2*x_6*y_3*y_4*y_5-2*x_3*x_5*y_2*y_4*y_6+x_2*x_3*y_4*y_5*y_6}","set {set {4, 2, 3}, set {4, 2, 7}, set {5, 7, 3}, set {4, 5, 3}, set {4, 5, 7}, set {4, 6, 7}, set {6, 2, 7}, set {4, 6, 2}, set {5, 6, 7}, set {4, 5, 6}, set {4, 7, 3}, set {2, 7, 3}}","set {set {5, 7}, set {5, 2}, set {6, 3}, set {5, 6}, set {}, set {2, 7}, set {4, 2}, set {5, 3}, set {6, 7}, set {6, 2}, set {4, 6}, set {7, 3}, set {4, 3}, set {2, 3}}","set {set {2, 3, 4, 6, 7}, set {2, 3, 4, 5, 7}, set {2, 3, 5, 6, 7}, set {3, 4, 5, 6, 7}, set {2, 3, 4, 5, 6}, set {2, 4, 5, 6, 7}}","{ideal(y_7,y_4,y_1), ideal(y_1,2*x_5*x_6*y_2*y_3-3*x_2*x_6*y_3*y_5-2*x_3*x_5*y_2*y_6+x_2*x_3*y_5*y_6,4*x_5*x_7*y_2*y_4*y_6-4*x_2*x_7*y_4*y_5*y_6-2*x_5*x_6*y_2*y_4*y_7+3*x_2*x_6*y_4*y_5*y_7+2*x_2*x_5*y_4*y_6*y_7+x_2*x_4*y_5*y_6*y_7,2*x_6*x_7*y_3*y_4*y_5+2*x_3*x_7*y_4*y_5*y_6+2*x_5*x_6*y_3*y_4*y_7+x_4*x_6*y_3*y_5*y_7-2*x_3*x_6*y_4*y_5*y_7-2*x_3*x_5*y_4*y_6*y_7-x_3*x_4*y_5*y_6*y_7,2*x_6*x_7*y_2*y_3*y_4+2*x_3*x_7*y_2*y_4*y_6+x_4*x_6*y_2*y_3*y_7-2*x_3*x_6*y_2*y_4*y_7+3*x_2*x_6*y_3*y_4*y_7-x_3*x_4*y_2*y_6*y_7-x_2*x_3*y_4*y_6*y_7,4*x_5*x_7*y_2*y_3*y_4-4*x_2*x_7*y_3*y_4*y_5-2*x_3*x_5*y_2*y_4*y_7+2*x_2*x_5*y_3*y_4*y_7+x_2*x_4*y_3*y_5*y_7+x_2*x_3*y_4*y_5*y_7)}"
"{2, 3, 4, 5, 6}","{y_7, y_1, x_5*y_2*y_4*y_6-x_2*y_4*y_5*y_6, x_6*y_3*y_4*y_5+x_3*y_4*y_5*y_6, x_6*y_2*y_3*y_4+x_3*y_2*y_4*y_6, x_5*y_2*y_3*y_4-x_2*y_3*y_4*y_5}","set {set {4, 2, 3}, set {4, 6, 2}, set {4, 5, 3}, set {4, 5, 6}}","set {set {5}, set {3}, set {}, set {6}, set {2}}","set {set {2, 3, 4, 6}, set {2, 3, 4, 5}, set {3, 4, 5, 6}, set {2, 4, 5, 6}}","{ideal(y_7,y_4,y_1), ideal(y_7,y_6,y_3,y_1), ideal(y_7,y_5,y_2,y_1), ideal(y_7,y_1,x_6*y_3+x_3*y_6,x_5*y_2-x_2*y_5)}"
"{2, 3, 4, 5, 7}","{y_6, y_1, 2*x_5*y_2*y_4*y_7-3*x_2*y_4*y_5*y_7, 2*x_5*y_2*y_3*y_7-3*x_2*y_3*y_5*y_7, 2*x_7*y_3*y_4*y_5+2*x_5*y_3*y_4*y_7+x_4*y_3*y_5*y_7-2*x_3*y_4*y_5*y_7, 2*x_7*y_2*y_3*y_4+x_4*y_2*y_3*y_7-2*x_3*y_2*y_4*y_7+3*x_2*y_3*y_4*y_7, 2*x_5*y_2*y_3*y_4-3*x_2*y_3*y_4*y_5}","set {set {4, 2, 3}, set {4, 2, 7}, set {5, 7, 3}, set {4, 5, 7}, set {4, 5, 3}, set {2, 7, 3}, set {4, 7, 3}}","set {set {5}, set {3}, set {7}, set {}, set {4}, set {2}}","set {set {2, 3, 4, 7}, set {2, 3, 5, 7}, set {3, 4, 5, 7}, set {2, 3, 4, 5}, set {2, 4, 5, 7}}","{ideal(y_7,y_6,y_4,y_1), ideal(y_7,y_6,y_3,y_1), ideal(y_6,y_4,y_3,y_1), ideal(y_6,y_1,2*x_5*y_2-3*x_2*y_5,2*x_7*y_3*y_4*y_5+2*x_5*y_3*y_4*y_7+x_4*y_3*y_5*y_7-2*x_3*y_4*y_5*y_7,2*x_7*y_2*y_3*y_4+x_4*y_2*y_3*y_7-2*x_3*y_2*y_4*y_7+3*x_2*y_3*y_4*y_7)}"
